id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mcl404,microbiology_culture,organism_category,oligella_ureolytica,oligella_ureolytica,2.1;3.0,,active,,,,,UNMAPPED,
mcl405,microbiology_culture,organism_category,oligella_urethralis,oligella_urethralis,2.1;3.0,,active,,,,,UNMAPPED,
mcl406,microbiology_culture,organism_category,paecilomyces_lilacinus,paecilomyces_lilacinus,2.1;3.0,,active,,,,,UNMAPPED,
mcl407,microbiology_culture,organism_category,paecilomyces_sp,paecilomyces_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl408,microbiology_culture,organism_category,paenibacillus_sp,paenibacillus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl409,microbiology_culture,organism_category,pandoraea_sp,pandoraea_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl410,microbiology_culture,organism_category,pantoea_agglomerans,pantoea_agglomerans,2.1;3.0,,active,,,,,UNMAPPED,
mcl411,microbiology_culture,organism_category,pantoea_sp,pantoea_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl412,microbiology_culture,organism_category,parabacteroides_distasonis,parabacteroides_distasonis,2.1;3.0,,active,,,,,UNMAPPED,
mcl413,microbiology_culture,organism_category,parabacteroides_merdae,parabacteroides_merdae,2.1;3.0,,active,,,,,UNMAPPED,
mcl414,microbiology_culture,organism_category,parvimonas_micra,parvimonas_micra,2.1;3.0,,active,,,,,UNMAPPED,
mcl415,microbiology_culture,organism_category,pasteurella_canis,pasteurella_canis,2.1;3.0,,active,,,,,UNMAPPED,
mcl416,microbiology_culture,organism_category,pasteurella_multocida,pasteurella_multocida,2.1;3.0,,active,,,,,UNMAPPED,
mcl417,microbiology_culture,organism_category,pasteurella_sp,pasteurella_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl418,microbiology_culture,organism_category,pediococcus_acidilactici,pediococcus_acidilactici,2.1;3.0,,active,,,,,UNMAPPED,
mcl419,microbiology_culture,organism_category,penicillium_sp,penicillium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl420,microbiology_culture,organism_category,peptoniphilus_assacharolyticus,peptoniphilus_assacharolyticus,2.1;3.0,,active,,,,,UNMAPPED,
mcl421,microbiology_culture,organism_category,peptoniphilus_harei,peptoniphilus_harei,2.1;3.0,,active,,,,,UNMAPPED,
mcl422,microbiology_culture,organism_category,peptoniphilus_sp,peptoniphilus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl423,microbiology_culture,organism_category,peptostreptococcus_anaerobius,peptostreptococcus_anaerobius,2.1;3.0,,active,,,,,UNMAPPED,
mcl424,microbiology_culture,organism_category,peptostreptococcus_sp,peptostreptococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl425,microbiology_culture,organism_category,pithomyces_sp,pithomyces_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl426,microbiology_culture,organism_category,plasmodium_falciparum,plasmodium_falciparum,2.1;3.0,,active,,,,,UNMAPPED,
mcl427,microbiology_culture,organism_category,plasmodium_sp,plasmodium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl428,microbiology_culture,organism_category,plesiomonas_shigelloides,plesiomonas_shigelloides,2.1;3.0,,active,,,,,UNMAPPED,
mcl429,microbiology_culture,organism_category,pluralibacter_gergoviae,pluralibacter_gergoviae,2.1;3.0,,active,,,,,UNMAPPED,
mcl430,microbiology_culture,organism_category,porphyromonas_asaccharolytica,porphyromonas_asaccharolytica,2.1;3.0,,active,,,,,UNMAPPED,
